id,Akteursbezeichnung,Instagram-Follower,Marktwert,Alter,Berater,Spielzeit bei WM,Type,national/international
MN,Manuel Neuer,823000,40000000,25,FSB_Spielerberatung GmbH,90,1,2
MP,Marvin Plattenhardt,2200000,40000000,27,Family and Football,59,1,2
JH,Jonas Hector,5700000,45000000,30,CN Sports,172,1,1
MG,Matthias Ginter,361000,45000000,22,Familienangehoeriger_Brandt,19,1,1
MH,Mats Hummels,3500000,30000000,25,ROGON,135,1,2
SK,Sami Khedira,0,15000000,28,act,165,1,1
JD,Julian Draxler,1900000,55000000,23,fair_sport GmbH,270,1,1
TK,Toni Kroos,1700000,8000000,28,Joerg Neubauer,0,1,1
TW,Timo Werner,572000,40000000,23,Joerg Neubauer,63,1,1
MO,Mesut Oezil,334000,25000000,24,ISMG International,0,1,1
MR,Marco Reus,853000,6000000,33,fair_sport GmbH,88,1,1
KT,Kevin Trapp,2500000,60000000,29,HMH Sportmanagement,180,1,1
TM,Thomas Mueller,10100000,30000000,32,PRO Profil GmbH,270,1,1
LG,Leon Goretzka,17200000,45000000,29,Family and Football,180,1,2
NS,Niklas Suele,60800,17000000,26,Briem Soccer Connection,79,1,1
AR,Antonio Ruediger,6800000,40000000,29,SportsTotal,210,1,1
JB,Jerome Boateng,7400000,60000000,26,Coaches and More GmbH,0,1,2
JK,Joshua Kimmich,402000,45000000,23,Karlheinz Foerster,90,1,1
SR,Sebastian Rudy,4800000,25000000,31,NGM SPORTS,118,1,2
JBR,Julian Brandt,302000,15000000,28,Familienangehoeriger_Rudy,31,1,1
IG,Ilkay Guendogan,19000000,80000000,28,SportsTotal,270,1,2
MS,Marc-Andre ter Stegen,5900000,55000000,29,Koegl und Partner GmbH,207,1,1
MGO,Mario Gomez,441000,60000000,22,Karlheinz Foerster,266,1,1
11_Teamsports,11 Teamsports,,,,,,2,
Adidas,Adidas,,,,,,2,
Aktion_Ehrenamt_Des_Dfb,Aktion Ehrenamt,,,,,,3,
Allianz,Allianz,,,,,,2,
Apple_Music,Apple Music,,,,,,2,
Barilla,Barilla,,,,,,2,
beko,Beko,,,,,,2,
BigShoe,BigShoe,,,,,,3,
Braun,Braun,,,,,,2,
Caseable,Caseable,,,,,,2,
City_in_the_Community_Foundation,City in the Community Foundation,,,,,,3,
Coca_Cola,Coca Cola,,,,,,2,
Common_Goal,Common Goal,,,,,,3,
Daimler,Daimler,,,,,,2,
Die_Wiege,Die Wiege,,,,,,3,
Disneys_Die_Monster_Uni,Disney,,,,,,2,
DKMS,DKMS,,,,,,3,
Doppelherz,Doppelherz,,,,,,2,
